LON,LAT,EDO,ESTACION,CLAVE,46023.0
-94.163333,17.571944,VER,"Tierra Morada, Ver.",TMOVC,605.0
-94.088889,17.873611,VER,"San José del Carmen, Ver.",JDCVC,504.5
-94.330833,18.109444,VER,"La Cangrejera, Ver.",LCAVC,381.5
-94.144444,18.141667,VER,"Agua Dulce, Ver.",AGDVC,375.0
-92.9375,17.566667,TAB,"Puyacatengo, Tab.",PUYTB,352.1
-93.150556,17.220556,CHIS,"Ocotepec, Chis.",OCOCP,330.7
-92.966667,17.566667,TAB,"Teapa, Tab.",TEATB,320.1
-93.085,17.561111,CHIS,"San Joaquín, Chis.",SJOCP,317.6
-92.75,17.380556,TAB,"Oxolotán, Tab.",OXOTB,315.1
-94.3775,18.103611,VER,"Planta de bombeo 3 de La Cangrejera, Ver.",PB3VC,305.0
-95.033333,18.516667,VER,"Sontecomapan, Ver.",SONVC,303.5
-94.4,18.1,VER,"Observatorio de Coatzacoalcos, Ver.",COTVC,294.2
-93.622778,18.175,TAB,"Poblado C11, Tab. SGT*",POBLADOC11,288.4
-93.427222,17.253611,CHIS,"Aza Pac, Chis. CFE*",AZAPACCFE,274.0
-93.383333,17.425,CHIS,"Sayula, Chis.",SAYCP,271.0
-92.35,17.566667,CHIS,"Salto de Agua, Chis.",SAACP,252.6
-94.406667,18.149722,VER,"Coatzacoalcos, Ver. SEMAR*",COATZACOALCOmar,249.2
-93.275556,17.996944,TAB,"Samaria, Tab.",SAMTB,246.8
-92.799722,17.270833,CHIS,"Zacatonal de Juárez, Chis. SGT*",ZACATONAL,246.2
-93.5375,17.283333,CHIS,"Tzimbac, Chis.",TZICP,242.7
-93.414167,17.231111,CHIS,"Tzimbac, Chis. CFE*",TZIMBACCFE,241.5
-92.778611,17.456944,TAB,"Tapijulapa, Tab.",TAPTB,231.7
-93.381389,17.364167,CHIS,"Túneles Juan de Grijalva, Chis. CFE*",JGRIJALVACFE,226.7
-93.381389,17.364167,CHIS,"Juan de Grijalva, Chis.",JDGCP,219.2
-92.086944,18.253056,CAMP,"Palizada, Camp.",PLZCA,217.0
-93.376389,18.001111,TAB,"Cárdenas, Tab.",CARTB,212.6
-93.458611,17.446111,CHIS,"Angel Albino Corzo, Chis.",PENCP,211.2
-93.342222,17.216667,CHIS,"Emiliano Zapata, Chis. CFE*",EZAPATACFE,189.6
-92.167222,18.100556,TAB,"Jonuta hidrométrica, Tab. SGT*",JONUTAHM,176.7
-92.820833,16.938889,CHIS,"Santa María, Chis.",SNACP,168.2
-96.833333,19.933333,VER,"Misantla, Ver.",MZNVC,160.4
-96.3,17.776389,OAX,"Valle Nacional, Oax.",VANOX,156.6
-92.879167,17.854167,TAB,"Pueblo Nuevo, Tab.",PNVTB,154.2
-96.533333,17.883333,OAX,"San Felipe Usila, Oax.",SFUOX,154.0
-93,17.975,TAB,"González, Tab.",GONTB,149.0
-96.777778,19.863889,VER,"Yecuatla, Ver.",YECVC,141.0
-95.93,17.15,OAX,"Zacatepec, Oax.",ZACOX,138.9
-92.814722,18.043611,TAB,"El Porvenir, Tab.",EPOTB,134.0
-96.916667,19.811111,VER,"Tenochtitlán, Ver.",TNCVC,132.0
-95.4375,18.583333,VER,"Angel Rosario Cabada, Ver.",ARCVC,127.7
-92.929444,17.98,TAB,"Observatorio de Villahermosa, Tab.",OBSTB,127.3
-92.646389,18.406389,TAB,"Pantanos de Centla, Tab. SMN*",PCENTLA,126.4
-97.516667,20.033333,PUE,"Cuetzalan del Progreso, Pue.",CTZPB,119.1
-96.435278,17.933056,OAX,"Usila CFE, Oax.",UCFOX,118.9
-92.731389,17.035556,CHIS,"San Pedro Nichtalucum, Chis. SGT*",SPNICHTALUCUM,117.0
-96.2,17.866667,OAX,"Jacatepec, Oax.",JACOX,113.0
-92.618056,16.963333,CHIS,"Chalchihuitán, Chis. SGT*",CHALCHIHUITAN,109.2
-95.416667,18.466667,VER,"Tres Zapotes, Ver.",TZAVC,105.8
-105.0475,23.899167,DGO,"Navíos Viejos, Dgo.",NAVDR,105.6
-97.048333,20.0675,VER,"Martínez de la Torre, Ver.",MDTVC,104.5
-86.820278,21.156667,QROO,"Cancún, Q. Roo.",CANQR,101.2
-93.330556,17.116667,CHIS,"Yamonhó, Chis.",YAMCP,99.9
-93.598889,17.178611,CHIS,"Nezahualcóyotl, Chis.",MALCP,98.1
-97.125278,18.579722,VER,"Tlaquilpa, Ver.",TLQVC,97.8
-88.703611,19.752222,QROO,"José María Morelos, Q. Roo. SMN*",JMORELOS,96.8
-106.7,25.35,DGO,"La Huerta, Dgo.",LHRDR,95.5
-110.290833,30.98,SON,"Cananea, Son.",CNNSO,94.4
-98.433333,16.683333,GRO,"Ometepec, Gro.",OMEGR,94.2
-106.770556,26.229444,CHIH,"Chinatú, Chih. SMN*",CHNCH,93.3
-97.881111,20.385833,PUE,"Avila Camacho, Pue.",AVCPB,90.5
-110.238611,30.598889,SON,"Bacanuchi, Son.",BCNSO,88.1
-111.445278,30.394722,SON,"Santa Rosa 2, Son.",SRSSO,88.0
-103.700833,19.408333,COL,"Suchitlán, Col.",SCHCM,86.5
-93.604722,17.199444,CHIS,"Malpaso, Chis. CFE*",MALPASOCFE,86.5
-108.927778,28.371389,SON,"Yécora, Son.",YCRSO,85.5
-95.916667,17.733333,OAX,"Río Manso Lalana, Oax.",RMLOX,85.1
-94.666667,17.95,VER,"Jaltipán, Ver.",JALVC,84.5
-98.500556,16.655833,GRO,"Quetzala, Gro.",QTZGR,82.7
-108.14,29.18,CHIH,"Ciudad Madera, Chih.",MDRCH,82.0
-92.874722,17.189444,CHIS,"Arroyo Grande, Chis. SGT*",ARROYOGRANDE,82.0
-110.593333,31.228333,SON,"Santa Cruz, Son.",SCZSO,81.0
-87.835556,18.28,QROO,"Arrecifes Xcalak, Q. Roo. SMN*",AXCALAK,79.6
-110.886944,30.761667,SON,"Imuris, Son.",IMRSO,78.2
-97.401667,20.116111,PUE,"Rancho Nuevo, Pue.",RNAPB,78.0
-92.6,17.766667,TAB,"Macuspana, Tab.",MACTB,78.0
-108.3,29.2,CHIH,"Guapoca, Chih.",GPCCH,77.1
-97.7925,20.004444,PUE,"Tepango de Rodríguez, Pue.",TDRPB,74.9
-106.952778,24.484722,SIN,"Santa Cruz, Sin.",SCRSI,74.8
-91.483333,17.433333,TAB,"Boca del Cerro, Tab.",BDCTB,73.7
-107.225,25.344444,SIN,"Guatenipa, Sin.",GTNSI,73.0
-97.2225,19.921944,VER,"Tomata, Ver.",TOMVC,72.7
-97.234722,19.7625,VER,"Altotonga, Ver.",ALTVC,71.7
-96.263611,17.999167,OAX,"Miguel de la Madrid Hurtado, Oax.",CDOOX,71.3
-94.771111,18.135278,VER,"Minzapan, Ver.",MNZVC,69.3
-96.979722,19.588611,VER,"Piletas, Ver.",PILVC,68.9
-105.219722,25.575556,DGO,"Indé, Dgo.",INDDR,68.0
-97.725,16.102778,OAX,"Río Verde, Oax.",RVEOX,66.0
-91.761389,18.654167,CAMP,"El Carmen, Camp.",CARCA,64.1
-108.876667,27.411944,SON,"San Bernardo, Son.",SBNSO,64.0
-108.860833,27.421667,SON,"Bicentenario, Son.",BICSO,64.0
-96.978333,20.051944,VER,"Libertad, Ver.",LIBVC,63.7
-108.937778,27.021667,SON,"Álamos, Son.",ALMSO,62.8
-108.092778,29.251944,CHIH,"Peñitas, Chih.",C08219,61.5
-99.935833,18.931389,MEX,"Texcaltitlán, Méx.",TESMX,61.3
-107.466667,25.033333,SIN,"Andrew Weiss, Sin.",AWSSI,60.5
-90.105556,20.184167,CAMP,"Hecelchakán, Camp.",HECCA,60.0
-95.483333,17.45,OAX,"María Lombardo, Oax.",MAROX,59.6
-107.072222,26.816667,CHIH,"Guachochi, Chih. SMN*",GCCCH,59.4
-105.466111,24.185833,DGO,"Las Vegas, Dgo. SMN*",LVEDR,59.0
-109.106667,27.226111,SON,"Adolfo Ruiz Cortines, Son.",ARCSO,58.5
-109.642222,28.976667,SON,"Plutarco Elías Calles, Son.",PECSO,58.5
-96.966667,19.45,VER,"Tapachapan, Ver.",TAPVC,57.2
-110.1675,30.335833,SON,"Arizpe, Son.",ARZSO,57.1
-109.088611,30.07,SON,"Aribabi, Son.",ARISO,55.3
-107.072778,26.813056,CHIH,"Guerachi, Chih.",GRCCH,54.7
-107.5375,25.333333,SIN,"Badiraguato, Sin.",BDRSI,54.5
-95.212778,18.450833,VER,"San Andrés Tuxtla AC, Ver.",STXVC,53.9
-97.359722,19.815278,PUE,"Teziutlán, Pue.",TEZPB,53.5
-96.950833,19.181667,VER,"Huatusco, Ver.",HTSVC,53.2
-101.724444,20.127222,MICH,"Melchor Ocampo, Mich.",MOCMC,53.0
-98.045,20.8325,VER,"Milcahual, Ver.",MILVC,52.6
-96.849722,18.405,PUE,"Tlacotepec de Díaz, Pue.",TLPPB,52.5
-96.950278,19.233611,VER,"Totutla, Ver.",TOTVC,52.4
-102.601944,19.958333,MICH,"Jaripo, Mich.",JARMC,52.1
-91.158333,17.791667,TAB,"San Pedro, Tab.",SPTTB,52.1
-97.691111,20.274722,VER,"Macedonio Alonso, Ver.",MACVC,52.0
-100.55,19.7,MICH,"Ciudad Hidalgo, Mich.",CHIMC,52.0
-102.541389,19.979167,MICH,"Guaracha, Mich.",GUAMC,52.0
-107.4,24.816667,SIN,"Culiacán, Sin.",CLCSI,51.8
-96.55,18.05,OAX,"Santo Domingo, Oax.",STDOX,51.5
-107.843333,25.485556,SIN,"San Juan, Sin. SMN*",SANJUAN,50.8
-107.8425,25.486667,SIN,"San Juan, Sin.",SJNSI,50.5
-97.446667,19.960833,PUE,"La Soledad, Pue.",SOLPB,50.1
-104.656667,24.203889,DGO,"Peña del Aguila, Dgo.",PAGDR,50.1
-89.081667,20.463056,YUC,"Cantamayec, Yuc.",CANYC,50.0
-97.1,19.65,VER,"Las Vigas de Ramírez, Ver.",LVRVC,50.0
-96.9975,18.897778,VER,"Fortín, Ver.",FORVC,49.3
-101.626667,20.248889,MICH,"Los Angeles, Mich.",LANMC,49.0
-97.021111,19.603611,VER,"La Joya, Ver.",JOYVC,48.7
-107.633333,27.75,CHIH,"Creel, Chih.",CRLCH,48.7
-106.390278,26.473333,CHIH,"El Vergel, Chih. SMN*",ELVERGELSMN,48.6
-91.535,17.756667,TAB,"Balancán, Tab. SGT*",BALANCANHM,48.5
